season,school_mascot,head_coach,first_season,offensive_coordinators,defensive_coordinators,source_title,source_revid
2014,Boise State Broncos,Bryan Harsin,2014,Mike Sanford Jr.,Marcel Yates,2014 Boise State Broncos football team,1338870741
2014,Boston College Eagles,Steve Addazio,2013,Ryan Day,Don Brown,2014 Boston College Eagles football team,1338072583
2014,Bowling Green Falcons,Dino Babers,2014,Sterlin Gilbert,Kim McCloud,2014 Bowling Green Falcons football team,1352872003
2014,Buffalo Bulls,Jeff Quinn,2010,Alex Wood,Lou Tepper,2014 Buffalo Bulls football team,1347812637
2014,California Golden Bears,Sonny Dykes,2013,Tony Franklin,Art Kaufman,2014 California Golden Bears football team,1365708767
2014,Central Michigan Chippewas,Dan Enos,2010,Morris Watts,Joe Tumpkin,2014 Central Michigan Chippewas football team,1339793287
2014,Cincinnati Bearcats,Tommy Tuberville,2013,Eddie Gran,Robert Prunty / Hank Hughes,2014 Cincinnati Bearcats football team,1339793340
2014,Clemson Tigers,Dabo Swinney,2009,Chad Morris,Brent Venables,2014 Clemson Tigers football team,1370382328
2014,Colorado Buffaloes,Mike MacIntyre,2013,Brian Lindgren,Kent Baer,2014 Colorado Buffaloes football team,1327597027
2014,Colorado State Rams,Jim McElwain,2012,Dave Baldwin,Marty English / Al Simmons,2014 Colorado State Rams football team,1330375867
2014,Duke Blue Devils,David Cutcliffe,2008,Scottie Montgomery,Jim Knowles,2014 Duke Blue Devils football team,1368579465
2014,East Carolina Pirates,Ruffin McNeill,2010,Lincoln Riley,Rick Smith,2014 East Carolina Pirates football team,1339793384
2014,Eastern Michigan Eagles,Chris Creighton,2014,Kalen DeBoer,Brad McCaslin,2014 Eastern Michigan Eagles football team,1339793401
2014,Florida Atlantic Owls,Charlie Partridge,2014,Brian Wright,Roc Bellantoni,2014 Florida Atlantic Owls football team,1339793453
2014,Florida Gators,Will Muschamp,2011,Kurt Roper,D. J. Durkin,2014 Florida Gators football team,1371897206
2014,Florida International Panthers,Ron Turner,2013,Steve Shankweiler,Josh Conklin,2014 FIU Panthers football team,1339793434
2014,Florida State Seminoles,Jimbo Fisher,2010,Lawrence Dawsey / Randy Sanders,Charles Kelly,2014 Florida State Seminoles football team,1365331008
2014,Fresno State Bulldogs,Tim DeRuyter,2012,Dave Schramm,Nick Toth,2014 Fresno State Bulldogs football team,1338770794
2014,Georgia Bulldogs,Mark Richt,2001,Mike Bobo,Jeremy Pruitt,2014 Georgia Bulldogs football team,1337687006
2014,Georgia Southern Eagles,Willie Fritz,2014,Doug Ruse,Jack Curtis,2014 Georgia Southern Eagles football team,1339793496
2014,Georgia State Panthers,Trent Miles,2013,Jeff Jagodzinski,Jesse Minter,2014 Georgia State Panthers football team,1339793504
2014,Georgia Tech Yellow Jackets,Paul Johnson,2008,,Ted Roof,2014 Georgia Tech Yellow Jackets football team,1349787327
2014,Hawai'i Rainbow Warriors,Norm Chow,2012,,Kevin Clune,2014 Hawaii Rainbow Warriors football team,1338727872
2014,Houston Cougars,Tony Levine,2012,Travis Bush,David Gibbs,2014 Houston Cougars football team,1349687003
2014,Idaho Vandals,Paul Petrino,2013,Kris Cinkovich,Ronnie Lee,2014 Idaho Vandals football team,1339793553
2014,Illinois Fighting Illini,Tim Beckman,2012,Bill Cubit,Tim Banks,2014 Illinois Fighting Illini football team,1344850897
2014,Indiana Hoosiers,Kevin Wilson,2011,Kevin Johns,Brian Knorr,2014 Indiana Hoosiers football team,1354217961
2014,Iowa Hawkeyes,Kirk Ferentz,1999,Greg Davis,Phil Parker,2014 Iowa Hawkeyes football team,1331020649
2014,Iowa State Cyclones,Paul Rhoads,2009,Mark Mangino,Wally Burnham,2014 Iowa State Cyclones football team,1339455465
2014,Kansas Jayhawks,Charlie Weis,2012,John Reagan / Eric Kiesau,Dave Campo,2014 Kansas Jayhawks football team,1349693260
2014,Kansas State Wildcats,Bill Snyder,1992,Dana Dimel / Del Miller,Tom Hayes,2014 Kansas State Wildcats football team,1370131314
2014,Kent State Golden Flashes,Paul Haynes,2013,Brian Rock,Brian George,2014 Kent State Golden Flashes football team,1339289420
2014,Kentucky Wildcats,Mark Stoops,2013,Neal Brown,D. J. Eliot,2014 Kentucky Wildcats football team,1353656493
2014,LSU Tigers,Les Miles,2005,Cam Cameron,John Chavis,2014 LSU Tigers football team,1338052017
2014,Louisiana Ragin' Cajuns,Mark Hudspeth,2011,Jay Johnson,James Willis,2014 Louisiana–Lafayette Ragin' Cajuns football team,1339793677
2014,Louisiana Tech Bulldogs,Skip Holtz,2013,Tony Petersen,Manny Diaz,2014 Louisiana Tech Bulldogs football team,1339793659
2014,Louisville Cardinals,Bobby Petrino,2010,Garrick McGee,Todd Grantham,2014 Louisville Cardinals football team,1371970050
2014,Marshall Thundering Herd,Doc Holliday,2010,Bill Legg,Chuck Heater,2014 Marshall Thundering Herd football team,1339280660
2014,Maryland Terrapins,Randy Edsall,2011,Mike Locksley,Brian Stewart,2014 Maryland Terrapins football team,1333326897
2014,Massachusetts Minutemen,Mark Whipple,2008,,Tom Masella,2014 UMass Minutemen football team,1347811636
2014,Memphis Tigers,Justin Fuente,2012,Darrell Dickey,Barry Odom,2014 Memphis Tigers football team,1339793712
2014,Miami (OH) RedHawks,Chuck Martin,2014,George Barnett / Eric Koehler,Matt Pawlowski,2014 Miami RedHawks football team,1339793739
2014,Miami Hurricanes,Al Golden,2011,James Coley,Mark D'Onofrio,2014 Miami Hurricanes football team,1339793732
2014,Michigan State Spartans,Mark Dantonio,2007,Dave Warner / Jim Bollman,Pat Narduzzi,2014 Michigan State Spartans football team,1367910949
2014,Michigan Wolverines,Brady Hoke,2011,Doug Nussmeier,Greg Mattison,2014 Michigan Wolverines football team,1339458578
2014,Middle Tennessee Blue Raiders,Rick Stockstill,2006,Buster Faulkner,Steve Ellis / Tyrone Nix,2014 Middle Tennessee Blue Raiders football team,1362606966
2014,Minnesota Golden Gophers,Jerry Kill,2011,Matt Limegrover,Tracy Claeys,2014 Minnesota Golden Gophers football team,1347814945
2014,Mississippi State Bulldogs,Dan Mullen,2009,Billy Gonzales / John Hevesy,Geoff Collins,2014 Mississippi State Bulldogs football team,1337604929
2014,Missouri Tigers,Gary Pinkel,2001,Josh Henson,Dave Steckel,2014 Missouri Tigers football team,1371988466
2014,NC State Wolfpack,Dave Doeren,2013,Matt Canada,Dave Huxtable,2014 NC State Wolfpack football team,1339793799
2014,Navy Midshipmen,Ken Niumatalolo,2008,Ivin Jasper,Buddy Green,2014 Navy Midshipmen football team,1331025647
2014,Nebraska Cornhuskers,Bo Pelini,2008,Tim Beck,John Papuchis,2014 Nebraska Cornhuskers football team,1372014058
2014,Nevada Wolf Pack,Brian Polian,2013,Nick Rolovich,Scott Boone / Bill Teerlinck,2014 Nevada Wolf Pack football team,1372720596
2014,New Mexico Lobos,Bob Davie,2012,Bob DeBesse,Kevin Cosgrove,2014 New Mexico Lobos football team,1330387334
2014,New Mexico State Aggies,Doug Martin,2013,Gregg Brandon,Larry Coyer,2014 New Mexico State Aggies football team,1339793841
2014,North Carolina Tar Heels,Larry Fedora,2012,Seth Littrell / Chris Kapilovic,Dan Disch / Ron West,2014 North Carolina Tar Heels football team,1336647998
2014,North Texas Mean Green,Dan McCarney,2011,Mike Canales,John Skladany,2014 North Texas Mean Green football team,1339793890
2014,Northern Illinois Huskies,Rod Carey,2013,Bob Cole,Jay Niemann,2014 Northern Illinois Huskies football team,1339451267
2014,Northwestern Wildcats,Pat Fitzgerald,2006,Mick McCall,Mike Hankwitz,2014 Northwestern Wildcats football team,1339793927
2014,Notre Dame Fighting Irish,Brian Kelly,2010,Mike Denbrock,Brian VanGorder,2014 Notre Dame Fighting Irish football team,1369925620
2014,Ohio Bobcats,Frank Solich,2005,Tim Albin,Jim Burrow,2014 Ohio Bobcats football team,1339793933
2014,Ohio State Buckeyes,Urban Meyer,2012,Tom Herman / Ed Warinner,Luke Fickell / Chris Ash,2014 Ohio State Buckeyes football team,1372033733
2014,Oklahoma Sooners,Bob Stoops,1999,Josh Heupel / Jay Norvell,Mike Stoops,2014 Oklahoma Sooners football team,1373105402
2014,Oklahoma State Cowboys,Mike Gundy,2005,Mike Yurcich,Glenn Spencer,2014 Oklahoma State Cowboys football team,1352670620
2014,Old Dominion Monarchs,Bobby Wilder,2009,Brian Scott,Rich Nagy,2014 Old Dominion Monarchs football team,1367724980
2014,Ole Miss Rebels,Hugh Freeze,2012,Matt Luke / Dan Werner,Dave Wommack / Jason Jones,2014 Ole Miss Rebels football team,1332816210
2014,Oregon Ducks,Mark Helfrich,2013,Scott Frost,Don Pellum,2014 Oregon Ducks football team,1366617374
2014,Oregon State Beavers,Mike Riley,2001,John Garrett,Mark Banker,2014 Oregon State Beavers football team,1328117247
2014,Penn State Nittany Lions,James Franklin,2014,John Donovan,Bob Shoop,2014 Penn State Nittany Lions football team,1363876422
2014,Pittsburgh Panthers,Paul Chryst,2012,Joe Rudolph,Matt House,2014 Pittsburgh Panthers football team,1339291161
2014,Purdue Boilermakers,Darrell Hazell,2013,John Shoop,Greg Hudson,2014 Purdue Boilermakers football team,1367152111
2014,Rice Owls,David Bailiff,2007,Larry Edmondson / Billy Lynch,Chris Thurmond,2014 Rice Owls football team,1339793970
2014,Rutgers Scarlet Knights,Kyle Flood,2012,Ralph Friedgen,Joe Rossi,2014 Rutgers Scarlet Knights football team,1334038584
2014,SMU Mustangs,June Jones,2008,Dan Morrison / Jason Phillips,Tom Mason,2014 SMU Mustangs football team,1339378829
2014,San Diego State Aztecs,Rocky Long,2011,Bob Toledo,,2014 San Diego State Aztecs football team,1339548186
2014,San José State Spartans,Ron Caragher,2013,Jimmie Dougherty,Greg Robinson,2014 San Jose State Spartans football team,1330396930
2014,South Alabama Jaguars,Joey Jones,2009,Robert Matthews / Bryant Vincent,Travis Pearson,2014 South Alabama Jaguars football team,1345478940
2014,South Carolina Gamecocks,Steve Spurrier,2005,Steve Spurrier Jr. / Shawn Elliott,Lorenzo Ward,2014 South Carolina Gamecocks football team,1339794051
2014,South Florida Bulls,Willie Taggart,2013,Paul Wulff,Chuck Bresnahan,2014 South Florida Bulls football team,1339794079
2014,Southern Miss Golden Eagles,Todd Monken,2013,Chip Lindsey,David Duggan,2014 Southern Miss Golden Eagles football team,1339794116
2014,Stanford Cardinal,David Shaw,2011,Mike Bloomgren,Lance Anderson,2014 Stanford Cardinal football team,1366425115
2014,Syracuse Orange,Scott Shafer,2013,George McDonald / Tim Lester,Chuck Bullough,2014 Syracuse Orange football team,1336460990
2014,TCU Horned Frogs,Gary Patterson,2001,Doug Meacham / Sonny Cumbie,Dick Bumpas,2014 TCU Horned Frogs football team,1344500398
2014,Temple Owls,Matt Rhule,2013,Marcus Satterfield,Phil Snow,2014 Temple Owls football team,1370015420
2014,Tennessee Volunteers,Butch Jones,2013,Mike Bajakian,John Jancek,2014 Tennessee Volunteers football team,1369857922
2014,Texas A&M Aggies,Kevin Sumlin,2012,Jake Spavital,Mark Snyder / Mark Hagen,2014 Texas A&M Aggies football team,1339794511
2014,Texas Longhorns,Charlie Strong,2014,Joe Wickline,Vance Bedford,2014 Texas Longhorns football team,1340950664
2014,Texas State Bobcats,Dennis Franchione,2009,Mike Schultz / Jeff Conway,John Thompson,2014 Texas State Bobcats football team,1339794525
2014,Texas Tech Red Raiders,Kliff Kingsbury,2013,Eric Morris,Matt Wallerstedt / Mike Smith,2014 Texas Tech Red Raiders football team,1369864609
2014,Toledo Rockets,Matt Campbell,2012,Jason Candle / Louis Ayeni,Jon Heacock,2014 Toledo Rockets football team,1339794547
2014,Troy Trojans,Larry Blakeney,1991,Kenny Edenfield,Wayne Bolt,2014 Troy Trojans football team,1339794563
2014,Tulane Green Wave,Curtis Johnson,2012,Eric Price,Jon Sumrall / Lionel Washington,2014 Tulane Green Wave football team,1339794792
2014,Tulsa Golden Hurricane,Bill Blankenship,2011,Denver Johnson,Brent Guy,2014 Tulsa Golden Hurricane football team,1339794804
2014,UAB Blazers,Bill Clark,2014,Bryant Vincent,Duwan Walker,2014 UAB Blazers football team,1339794812
2014,UCF Knights,George O'Leary,2004,Charlie Taaffe,Tyson Summers,2014 UCF Knights football team,1372101207
2014,UCLA Bruins,Jim L. Mora,2012,Noel Mazzone,Jeff Ulbrich,2014 UCLA Bruins football team,1367475515
2014,UConn Huskies,Bob Diaco,2014,Mike Cummings,Anthony Poindexter,2014 UConn Huskies football team,1356112318
2014,UL Monroe Warhawks,Todd Berry,2010,Steve Farmer,Troy Reffett,2014 Louisiana–Monroe Warhawks football team,1339793690
2014,UNLV Rebels,Bobby Hauck,2010,Timm Rosenbach,Tim Hauck,2014 UNLV Rebels football team,1339794872
2014,USC Trojans,Steve Sarkisian,2014,Clay Helton,Justin Wilcox,2014 USC Trojans football team,1339229019
2014,UTEP Miners,Sean Kugler,2013,Patrick Higgins,Scott Stoker,2014 UTEP Miners football team,1367945546
2014,UTSA Roadrunners,Larry Coker,2011,Kevin Brown,Neal Neathery,2014 UTSA Roadrunners football team,1339794890
2014,Utah State Aggies,Matt Wells,2013,Kevin McGiven,Todd Orlando,2014 Utah State Aggies football team,1372161975
2014,Utah Utes,Kyle Whittingham,2005,Dave Christensen,Kalani Sitake,2014 Utah Utes football team,1367924953
2014,Vanderbilt Commodores,Derek Mason,2014,Karl Dorrell,Dave Kotulski,2014 Vanderbilt Commodores football team,1339794932
2014,Virginia Cavaliers,Mike London,2010,Steve Fairchild,Jon Tenuta,2014 Virginia Cavaliers football team,1372170412
2014,Virginia Tech Hokies,Frank Beamer,1987,Scot Loeffler,Bud Foster,2014 Virginia Tech Hokies football team,1339794956
2014,Wake Forest Demon Deacons,Dave Clawson,2014,Warren Ruggiero,Mike Elko,2014 Wake Forest Demon Deacons football team,1336289432
2014,Washington Huskies,Chris Petersen,2014,Jonathan Smith,Pete Kwiatkowski,2014 Washington Huskies football team,1339794979
2014,Washington State Cougars,Mike Leach,2012,,Mike Breske,2014 Washington State Cougars football team,1339794985
2014,West Virginia Mountaineers,Dana Holgorsen,2011,Shannon Dawson,Tony Gibson,2014 West Virginia Mountaineers football team,1339225456
2014,Western Kentucky Hilltoppers,Jeff Brohm,2014,Tyson Helton,Nick Holt,2014 Western Kentucky Hilltoppers football team,1339795004
2014,Western Michigan Broncos,P. J. Fleck,2013,Kirk Ciarrocca,Ed Pinkham,2014 Western Michigan Broncos football team,1339795016
2014,Wisconsin Badgers,Gary Andersen,2013,Andy Ludwig,Dave Aranda,2014 Wisconsin Badgers football team,1372179554
2014,Wyoming Cowboys,Craig Bohl,2014,Brent Vigen,Steve Stanard,2014 Wyoming Cowboys football team,1368294969
2015,Air Force Falcons,Troy Calhoun,2007,Mike Thiessen,Steve Russ,2015 Air Force Falcons football team,1334675734
2015,Akron Zips,Terry Bowden,2012,A. J. Milwee,Chuck Amato,2015 Akron Zips football team,1367410280
2015,Alabama Crimson Tide,Nick Saban,2007,Lane Kiffin,Kirby Smart,2015 Alabama Crimson Tide football team,1374153613
2015,App State Mountaineers,Scott Satterfield,2013,Frank Ponce / Dwayne Ledford,Nate Woody,2015 Appalachian State Mountaineers football team,1339231362
2015,Arizona State Sun Devils,Todd Graham,2012,Mike Norvell,Keith Patterson / Chris Ball,2015 Arizona State Sun Devils football team,1339795095
2015,Arizona Wildcats,Rich Rodriguez,2012,Calvin Magee / Rod Smith,Jeff Casteel,2015 Arizona Wildcats football team,1372461290
2015,Arkansas Razorbacks,Bret Bielema,2013,Dan Enos,Robb Smith,2015 Arkansas Razorbacks football team,1370758019
2015,Arkansas State Red Wolves,Blake Anderson,2014,Walt Bell / Glen Elarbee,Joe Cauthen,2015 Arkansas State Red Wolves football team,1332277895
2015,Army Black Knights,Jeff Monken,2014,Brent Davis,Jay Bateman,2015 Army Black Knights football team,1339795121
2015,Auburn Tigers,Gus Malzahn,2013,Rhett Lashlee / Dameyune Craig,Will Muschamp,2015 Auburn Tigers football team,1372466616
2015,BYU Cougars,Bronco Mendenhall,2005,Robert Anae,Nick Howell,2015 BYU Cougars football team,1339133555
2015,Ball State Cardinals,Pete Lembo,2011,Joey Lynch,Kevin Kelly,2015 Ball State Cardinals football team,1362249005
2015,Baylor Bears,Art Briles,2008,Kendal Briles,Phil Bennett,2015 Baylor Bears football team,1369070117
2015,Boise State Broncos,Bryan Harsin,2014,Eliah Drinkwitz,Marcel Yates,2015 Boise State Broncos football team,1372508291
2015,Boston College Eagles,Steve Addazio,2013,Todd Fitch,Don Brown,2015 Boston College Eagles football team,1372508578
2015,Bowling Green Falcons,Dino Babers,2014,Mike Lynch / Sean Lewis,Brian Ward,2015 Bowling Green Falcons football team,1352872038
2015,Buffalo Bulls,Lance Leipold,2015,Andy Kotelnicki,Brian Borland,2015 Buffalo Bulls football team,1347812662
2015,California Golden Bears,Sonny Dykes,2013,Tony Franklin,Art Kaufman,2015 California Golden Bears football team,1346294403
2015,Central Michigan Chippewas,John Bonamego,2015,Morris Watts,Greg Colby,2015 Central Michigan Chippewas football team,1339795186
2015,Charlotte 49ers,Brad Lambert,2013,Jeff Mullen,Matt Wallerstedt,2015 Charlotte 49ers football team,1372530800
2015,Cincinnati Bearcats,Tommy Tuberville,2013,Eddie Gran,Robert Prunty / Steve Clinkscale,2015 Cincinnati Bearcats football team,1369001756
2015,Clemson Tigers,Dabo Swinney,2009,Tony Elliott / Jeff Scott,Brent Venables,2015 Clemson Tigers football team,1335917763
2015,Colorado Buffaloes,Mike MacIntyre,2013,Brian Lindgren,Jim Leavitt,2015 Colorado Buffaloes football team,1327597000
2015,Colorado State Rams,Mike Bobo,2015,Will Friend,Tyson Summers,2015 Colorado State Rams football team,1374545620
2015,Duke Blue Devils,David Cutcliffe,2008,Scottie Montgomery,Jim Knowles,2015 Duke Blue Devils football team,1368579672
2015,East Carolina Pirates,Ruffin McNeill,2010,Dave Nichol,Rick Smith,2015 East Carolina Pirates football team,1339795239
2015,Eastern Michigan Eagles,Chris Creighton,2014,Kalen DeBoer,Brad McCaslin,2015 Eastern Michigan Eagles football team,1339795266
2015,Florida Atlantic Owls,Charlie Partridge,2014,Brian Wright,Roc Bellantoni,2015 Florida Atlantic Owls football team,1339795312
2015,Florida Gators,Jim McElwain,2015,Doug Nussmeier,Geoff Collins / Randy Shannon,2015 Florida Gators football team,1352496233
2015,Florida International Panthers,Ron Turner,2013,Steve Shankweiler,Matt House,2015 FIU Panthers football team,1367182517
2015,Florida State Seminoles,Jimbo Fisher,2010,Lawrence Dawsey / Randy Sanders,Charles Kelly,2015 Florida State Seminoles football team,1365330713
2015,Fresno State Bulldogs,Tim DeRuyter,2012,Dave Schramm,Nick Toth,2015 Fresno State Bulldogs football team,1338770809
2015,Georgia Bulldogs,Mark Richt,2001,Brian Schottenheimer,Jeremy Pruitt,2015 Georgia Bulldogs football team,1337687030
2015,Georgia Southern Eagles,Willie Fritz,2014,Doug Ruse,Jack Curtis,2015 Georgia Southern Eagles football team,1339795339
2015,Georgia State Panthers,Trent Miles,2013,Jeff Jagodzinski,Jesse Minter,2015 Georgia State Panthers football team,1339795346
2015,Georgia Tech Yellow Jackets,Paul Johnson,2008,,Ted Roof,2015 Georgia Tech Yellow Jackets football team,1339795352
2015,Hawai'i Rainbow Warriors,Norm Chow,2012,Don Bailey,Tom Mason / Abraham Elimimian,2015 Hawaii Rainbow Warriors football team,1368595081
2015,Houston Cougars,Tom Herman,2015,Major Applewhite,Todd Orlando / Craig Naivar,2015 Houston Cougars football team,1367875138
2015,Idaho Vandals,Paul Petrino,2013,Kris Cinkovich,Mike Breske,2015 Idaho Vandals football team,1339795387
2015,Illinois Fighting Illini,Bill Cubit,2015,,Tim Banks / Mike Phair,2015 Illinois Fighting Illini football team,1344850867
2015,Indiana Hoosiers,Kevin Wilson,2011,Kevin Johns,Brian Knorr,2015 Indiana Hoosiers football team,1354217925
2015,Iowa Hawkeyes,Kirk Ferentz,1999,Greg Davis,Phil Parker,2015 Iowa Hawkeyes football team,1374086003
2015,Iowa State Cyclones,Paul Rhoads,2009,Mark Mangino / Todd Sturdy,Wally Burnham,2015 Iowa State Cyclones football team,1339455485
2015,Kansas Jayhawks,David Beaty,2015,Rob Likens,Clint Bowen / Kenny Perry,2015 Kansas Jayhawks football team,1370426777
2015,Kansas State Wildcats,Bill Snyder,1992,Dana Dimel / Del Miller,Tom Hayes,2015 Kansas State Wildcats football team,1339452476
2015,Kent State Golden Flashes,Paul Haynes,2013,Don Treadwell,Brian George,2015 Kent State Golden Flashes football team,1348135127
2015,Kentucky Wildcats,Mark Stoops,2013,Shannon Dawson,D. J. Eliot,2015 Kentucky Wildcats football team,1372649669
2015,LSU Tigers,Les Miles,2005,Cam Cameron,Kevin Steele,2015 LSU Tigers football team,1338052033
2015,Louisiana Ragin' Cajuns,Mark Hudspeth,2011,Jay Johnson,Charlie Harbison / Melvin Smith,2015 Louisiana–Lafayette Ragin' Cajuns football team,1339795512
2015,Louisiana Tech Bulldogs,Skip Holtz,2013,Tony Petersen,Blake Baker,2015 Louisiana Tech Bulldogs football team,1361773978
2015,Louisville Cardinals,Bobby Petrino,2010,Garrick McGee,Todd Grantham,2015 Louisville Cardinals football team,1336994866
2015,Marshall Thundering Herd,Doc Holliday,2010,Bill Legg,Chuck Heater,2015 Marshall Thundering Herd football team,1339280715
2015,Maryland Terrapins,Randy Edsall,2011,Mike Locksley,Keith Dudzinski,2015 Maryland Terrapins football team,1333326908
2015,Massachusetts Minutemen,Mark Whipple,2008,,Tom Masella,2015 UMass Minutemen football team,1352871830
2015,Memphis Tigers,Justin Fuente,2012,Darrell Dickey / Brad Cornelsen,Galen Scott,2015 Memphis Tigers football team,1339795567
2015,Miami (OH) RedHawks,Chuck Martin,2014,George Barnett / Eric Koehler,Matt Pawlowski,2015 Miami RedHawks football team,1340024212
2015,Miami Hurricanes,Al Golden,2011,James Coley,Mark D'Onofrio,2015 Miami Hurricanes football team,1339795582
2015,Michigan State Spartans,Mark Dantonio,2007,Dave Warner / Jim Bollman,Harlon Barnett / Mike Tressel,2015 Michigan State Spartans football team,1367910894
2015,Michigan Wolverines,Jim Harbaugh,2015,Tim Drevno,D. J. Durkin / Greg Mattison,2015 Michigan Wolverines football team,1353064313
2015,Middle Tennessee Blue Raiders,Rick Stockstill,2006,Buster Faulkner,Steve Ellis / Tyrone Nix,2015 Middle Tennessee Blue Raiders football team,1339795621
2015,Minnesota Golden Gophers,Jerry Kill,2011,Matt Limegrover,Tracy Claeys,2015 Minnesota Golden Gophers football team,1347815201
2015,Mississippi State Bulldogs,Dan Mullen,2009,Billy Gonzales / John Hevesy,Manny Diaz,2015 Mississippi State Bulldogs football team,1337604978
2015,Missouri Tigers,Gary Pinkel,2001,Josh Henson,Barry Odom,2015 Missouri Tigers football team,1354757451
2015,NC State Wolfpack,Dave Doeren,2013,Matt Canada,Dave Huxtable,2015 NC State Wolfpack football team,1339795642
2015,Navy Midshipmen,Ken Niumatalolo,2008,Ivin Jasper,Dale Pehrson,2015 Navy Midshipmen football team,1331025687
2015,Nebraska Cornhuskers,Mike Riley,2015,Danny Langsdorf,Mark Banker,2015 Nebraska Cornhuskers football team,1370116253
2015,Nevada Wolf Pack,Brian Polian,2013,Nick Rolovich,Scott Boone / Bill Teerlinck,2015 Nevada Wolf Pack football team,1372718515
2015,New Mexico Lobos,Bob Davie,2012,Bob DeBesse,Kevin Cosgrove,2015 New Mexico Lobos football team,1330387362
2015,New Mexico State Aggies,Doug Martin,2013,,Zane Vance,2015 New Mexico State Aggies football team,1339795664
2015,North Carolina Tar Heels,Larry Fedora,2012,Seth Littrell,Gene Chizik,2015 North Carolina Tar Heels football team,1336648023
2015,North Texas Mean Green,Dan McCarney,2011,Mike Canales,Chris Cosh,2015 North Texas Mean Green football team,1339795703
2015,Northern Illinois Huskies,Rod Carey,2013,Bob Cole,Jay Niemann,2015 Northern Illinois Huskies football team,1369172527
2015,Northwestern Wildcats,Pat Fitzgerald,2006,Mick McCall,Mike Hankwitz,2015 Northwestern Wildcats football team,1339795736
2015,Notre Dame Fighting Irish,Brian Kelly,2010,Mike Sanford Jr.,Brian VanGorder,2015 Notre Dame Fighting Irish football team,1369302904
2015,Ohio Bobcats,Frank Solich,2005,Tim Albin,Jim Burrow,2015 Ohio Bobcats football team,1339795749
2015,Ohio State Buckeyes,Urban Meyer,2012,Ed Warinner / Tim Beck,Luke Fickell / Chris Ash,2015 Ohio State Buckeyes football team,1333754703
2015,Oklahoma Sooners,Bob Stoops,1999,Lincoln Riley,Mike Stoops,2015 Oklahoma Sooners football team,1373105181
2015,Oklahoma State Cowboys,Mike Gundy,2005,Mike Yurcich,Glenn Spencer,2015 Oklahoma State Cowboys football team,1339453301
2015,Old Dominion Monarchs,Bobby Wilder,2009,Brian Scott,Rich Nagy,2015 Old Dominion Monarchs football team,1367724996
2015,Ole Miss Rebels,Hugh Freeze,2012,Matt Luke / Dan Werner,Dave Wommack / Jason Jones,2015 Ole Miss Rebels football team,1352670895
2015,Oregon Ducks,Mark Helfrich,2013,Scott Frost / Matt Lubick,Don Pellum,2015 Oregon Ducks football team,1365736213
2015,Oregon State Beavers,Gary Andersen,2015,Dave Baldwin,Kalani Sitake,2015 Oregon State Beavers football team,1328117226
2015,Penn State Nittany Lions,James Franklin,2014,John Donovan,Bob Shoop,2015 Penn State Nittany Lions football team,1338606728
2015,Pittsburgh Panthers,Pat Narduzzi,2015,Jim Chaney,Josh Conklin,2015 Pittsburgh Panthers football team,1339291132
2015,Purdue Boilermakers,Darrell Hazell,2013,John Shoop,Greg Hudson,2015 Purdue Boilermakers football team,1372760874
2015,Rice Owls,David Bailiff,2007,Larry Edmondson / Billy Lynch,Chris Thurmond,2015 Rice Owls football team,1339795845
2015,Rutgers Scarlet Knights,Kyle Flood,2012,Ben McDaniels,Joe Rossi,2015 Rutgers Scarlet Knights football team,1372796898
2015,SMU Mustangs,Chad Morris,2015,Joe Craddock,Van Malone,2015 SMU Mustangs football team,1365876456
2015,San Diego State Aztecs,Rocky Long,2011,Jeff Horton,,2015 San Diego State Aztecs football team,1339548168
2015,San José State Spartans,Ron Caragher,2013,Al Borges,Greg Robinson,2015 San Jose State Spartans football team,1330396894
2015,South Alabama Jaguars,Joey Jones,2009,Bryant Vincent,Travis Pearson,2015 South Alabama Jaguars football team,1339795904
2015,South Carolina Gamecocks,Steve Spurrier,2005,G. A. Mangus,Lorenzo Ward / Jon Hoke,2015 South Carolina Gamecocks football team,1339795912
2015,South Florida Bulls,Willie Taggart,2013,Danny Hope / David Reaves,Tom Allen,2015 South Florida Bulls football team,1339795933
2015,Southern Miss Golden Eagles,Todd Monken,2013,Chip Lindsey,David Duggan,2015 Southern Miss Golden Eagles football team,1339795966
2015,Stanford Cardinal,David Shaw,2011,Mike Bloomgren,Lance Anderson,2015 Stanford Cardinal football team,1369653109
2015,Syracuse Orange,Scott Shafer,2013,Tim Lester,Chuck Bullough,2015 Syracuse Orange football team,1336461014
2015,TCU Horned Frogs,Gary Patterson,2001,Doug Meacham / Sonny Cumbie,Chad Glasgow / DeMontie Cross,2015 TCU Horned Frogs football team,1344500024
2015,Temple Owls,Matt Rhule,2013,Marcus Satterfield,Phil Snow,2015 Temple Owls football team,1369950265
2015,Tennessee Volunteers,Butch Jones,2013,Mike DeBord,John Jancek,2015 Tennessee Volunteers football team,1372827115
2015,Texas A&M Aggies,Kevin Sumlin,2012,Jake Spavital,John Chavis,2015 Texas A&M Aggies football team,1339796036
2015,Texas Longhorns,Charlie Strong,2014,Joe Wickline / Jay Norvell,Vance Bedford,2015 Texas Longhorns football team,1352670960
2015,Texas State Bobcats,Dennis Franchione,2009,Mike Schultz / Jeff Conway,John Thompson,2015 Texas State Bobcats football team,1339796051
